,bezeichnung_kldb,median_brutto,average_brutto,code_kldb
1227,"93542 Schilder-,Lichtreklameherst. - Fachkraft",2720,2766,93542
1228,93593 Aufsicht-Kunsthandwerkl.Metallgestaltung,0,,93593
1229,93602 Musikinstrumentenbau (o.S.) - Fachkraft,2636,2788,93602
1230,93603 Musikinstrumentenbau (o.S.) - Spezialist,0,,93603
1231,93604 Musikinstrumentenbau (o.S.) - Experte,0,,93604
1232,"93612 Streich-,Zupfinstrumentenbau - Fachkraft",2500,2561,93612
1233,"93613 Streich-,Zupfinstrumentenbau-Spezialist",0,,93613
1234,93622 Holzblasinstrumentenbau - Fachkraft,2837,2721,93622
1235,93623 Holzblasinstrumentenbau - Spezialist,0,,93623
1236,93632 Metallblasinstrumentenbau - Fachkraft,2838,3014,93632
1237,93633 Metallblasinstrumentenbau - Spezialist,0,,93633
1238,93642 Klavier- und Cembalobau - Fachkraft,3866,3999,93642
1239,93643 Klavier- und Cembalobau - Spezialist,0,,93643
1240,93652 Orgel- und Harmoniumbau - Fachkraft,0,,93652
1241,93653 Orgel- und Harmoniumbau - Spezialist,0,,93653
1242,93682 Musikinstrumentenbau (s.s.T.)-Fachkraft,0,,93682
1243,93683 Musikinstrumentenbau (s.s.T.)-Spezialist,0,,93683
1244,93693 Aufsicht - Musikinstrumentenbau,4136,4102,93693
1245,94114 Musiker/innen - Experte,5505,5843,94114
1246,94124 Sänger/innen - Experte,4079,4214,94124
1247,94134 Dirigenten/Dirigentinnen - Experte,5039,5836,94134
1248,94144 Komponisten/Komponistinnen - Experte,0,,94144
1249,94183 MusikGesangDirigententät(ssT)-Spezialist,4500,4676,94183
1250,"94184 MusikGesangs,Dirigententät.(ssT)-Experte",3300,3575,94184
1251,94214 Schauspieler/innen - Experte,3246,3782,94214
1252,"94224 Tänzer, Choreografen - Experte",5410,5629,94224
1253,"94232 MannequinDressmen,sonst.Models-Fachkraft",2892,3620,94232
1254,"94243 Athleten, Berufssportler - Spezialist",0,,94243
1255,94252 Personenbezog.Dienstleistungen-Fachkraft,0,,94252
1256,94283 SchauspielTanzBewegungsk(ssT)-Spezialist,0,,94283
1257,"94303 Moderation,Unterhaltung (oS) -Spezialist",4713,5346,94303
1258,"94313 Komiker, Kabarettisten - Spezialist",0,,94313
1259,"94323 Zauberer, Illusionisten - Spezialist",5475,5535,94323
1260,"94334 Hörfunk-, Fernsehmoderatoren - Experte",4096,5591,94334
1261,94342 Glücks- und Wettspiel - Fachkraft,0,,94342
1262,"94382 Moderation,Unterhaltung(ssT) -Fachkraft",0,,94382
1263,"94383 Moderation,Unterhaltung(ssT) -Spezialist",0,,94383
1264,"94402 Theater-Film-,Fernsehprod.(oS)-Fachkraft",3750,4160,94402
1265,"94403 Theater-Film,Fernsehprod.(oS)-Spezialist",4450,4931,94403
1266,"94404 Theater-,Film-, Fernsehprod.(oS)-Experte",5000,5474,94404
1267,94413 Regie - Spezialist,2915,3292,94413
1268,94414 Regie - Experte,5350,5666,94414
1269,"94482 Theater-Film,Fernsehprod.(ssT)-Fachkraft",3542,4018,94482
1270,"94483 TheaterFilm,Fernsehprod.(ssT)-Spezialist",4080,4553,94483
1271,"94484 Theater-Film-,Fernsehprod.(ssT)-Experte",0,,94484
1272,"94493 Aufsicht-Theater-Film-,Fernsehproduktion",4842,5447,94493
1273,"94494 Führung-Theater-,Film-,Fernsehproduktion",4377,5912,94494
1274,"94512 Veranstaltungs-, Bühnentechnik-Fachkraft",3245,3361,94512
1275,"94513 Veranstaltungs-,Bühnentechnik-Spezialist",3547,3782,94513
1276,"94514 Veranstaltungs-, Bühnentechnik - Experte",4928,5717,94514
1277,94522 Kameratechnik - Fachkraft,2800,3184,94522
1278,94523 Kameratechnik - Spezialist,5239,5361,94523
1279,94532 Bild- und Tontechnik - Fachkraft,3518,3721,94532
1280,94533 Bild- und Tontechnik - Spezialist,4459,4760,94533
1281,94534 Bild- und Tontechnik - Experte,5091,5555,94534
1282,"94582 Veranstalt.-Kamera-,Tont.(ssT)-Fachkraft",3936,4260,94582
1283,"94593 Aufsicht-Veranstaltungs-Kamera-,Tontech.",4602,5918,94593
1284,94612 Bühnen- und Kostümbildnerei - Fachkraft,3129,3453,94612
1285,94613 Bühnen- und Kostümbildnerei - Spezialist,3742,3800,94613
1286,94614 Bühnen- und Kostümbildnerei - Experte,3089,3807,94614
1287,94622 Requisite - Fachkraft,3446,3461,94622
1288,94623 Requisite - Spezialist,3274,3506,94623
1289,"94693 Aufsicht-Bühnen-,Kostümbildn.,Requisite",4645,4922,94693
1290,94704 Museum (o.S.) - Experte,4400,4375,94704
1291,"94712 Museums-,Ausstellungstechnik - Fachkraft",3191,3756,94712
1292,"94713 Museums-,Ausstellungstechnik-Spezialist",3769,4035,94713
1293,"94714 Museums-, Ausstellungstechnik - Experte",3149,4221,94714
1294,94724 Kunstsachverständige - Experte,0,,94724
1295,94794 Führung - Museum,0,,94794
1296,01104 Offiziere,5330,5564,01104
1297,01203 Unteroffiziere mit Portepee,3785,3815,01203
1298,01302 Unteroffiziere ohne Portepee,3029,3089,01302
1299,01402 Angeh. reguläre Streitkräfte sonst.Ränge,2627,2704,01402
