,bezeichnung_kldb,median_brutto,average_brutto,code_kldb
339,28221 Bekleidungsherstellung - Helfer,2200,2242,28221
340,28222 Bekleidungsherstellung - Fachkraft,2317,2441,28222
341,28223 Bekleidungsherstellung - Spezialist,3939,4343,28223
342,28224 Bekleidungsherstellung - Experte,3894,4134,28224
343,"28232 Tech.Konfektionäre,Segelmacher-Fachkraft",2262,2499,28232
344,"28242 Polsterei,Fahrzeuginnenausstat-Fachkraft",2786,2903,28242
345,28293 Aufsicht - Textilverarbeitung,3947,3998,28293
346,28294 Führung - Textilverarbeitung,5540,5985,28294
347,"28301 Leder-,Pelzherstell.,-verarb.(oS)-Helfer",2538,2560,28301
348,28312 Lederherstellung - Fachkraft,3232,3300,28312
349,28313 Lederherstellung - Spezialist,6272,6621,28313
350,28314 Lederherstellung - Experte,0,,28314
351,"28322 Sattlerei,Herst. Lederutensil.-Fachkraft",2700,2826,28322
352,28332 Schuhherstellung - Fachkraft,2610,2730,28332
353,28333 Schuhherstellung - Spezialist,4161,4796,28333
354,28342 Pelzbe- und -verarbeitung - Fachkraft,0,,28342
355,28343 Pelzbe- und -verarbeitung - Spezialist,0,,28343
356,"28393 Aufsicht - Leder-,Pelzherstell.,-verarb.",4245,4115,28393
357,"28394 Führung - Leder-,Pelzherstell.,-verarb.",0,,28394
358,29102 Getränkeherstellung (o.S.) - Fachkraft,3410,3383,29102
359,29103 Getränkeherstellung (o.S.) - Spezialist,4213,4027,29103
360,29104 Getränkeherstellung (o.S.) - Experte,5974,5864,29104
361,"29112 Brauer/innen, Mälzer/innen - Fachkraft",4087,4095,29112
362,"29113 Brauer/innen, Mälzer/innen - Spezialist",0,,29113
363,"29114 Brauer/innen, Mälzer/innen - Experte",4604,4925,29114
364,29122 Weinküfer/innen - Fachkraft,3258,3450,29122
365,29123 Weinküfer/innen - Spezialist,0,,29123
366,"29132 Brenner, Destillateure - Fachkraft",0,,29132
367,"29133 Brenner, Destillateure - Spezialist",0,,29133
368,"29134 Brenner, Destillateure - Experte",0,,29134
369,29142 Fruchtsafttechnik - Fachkraft,3296,3437,29142
370,29143 Fruchtsafttechnik - Spezialist,0,,29143
371,"29152 Nahrungsmittel-,Getränkekoster-Fachkraft",0,,29152
372,29193 Aufsicht - Getränkeherstellung,4474,4871,29193
373,29194 Führung - Getränkeherstellung,6391,6576,29194
374,29201 Lebensmittelherstellung (o.S.) - Helfer,2596,2784,29201
375,29202 Lebensmittelherstellung (oS) - Fachkraft,3197,3376,29202
376,29203 Lebensmittelherstellung (oS) -Spezialist,3427,3738,29203
377,29204 Lebensmittelherstellung (o.S.) - Experte,4781,5263,29204
378,"29212 Mühlenprod.-,Futtermittelher.-Fachkraft",3698,3606,29212
379,"29213 Mühlenprod.-,Futtermittelher.-Spezialist",0,,29213
380,"29222 Back-, Konditoreiwarenherst.-Fachkraft",2848,2983,29222
381,"29223 Back-, Konditoreiwarenherst.-Spezialist",3560,3933,29223
382,29232 Fleischverarbeitung - Fachkraft,2760,2880,29232
383,29233 Fleischverarbeitung - Spezialist,0,,29233
384,29242 Fischverarbeitung - Fachkraft,2601,2973,29242
385,29243 Fischverarbeitung - Spezialist,0,,29243
386,29252 Milchproduktherstellung - Fachkraft,4253,4319,29252
387,29253 Milchproduktherstellung - Spezialist,4246,4657,29253
388,29262 Süßwarenherstellung - Fachkraft,3131,3169,29262
389,29263 Süßwarenherstellung - Spezialist,4000,4688,29263
390,29272 Tabakwarenherstellung - Fachkraft,3668,3906,29272
391,29273 Tabakwarenherstellung - Spezialist,7529,7574,29273
392,29282 Lebensmittelherstellung(ssT) - Fachkraft,3036,3178,29282
393,29283 Lebensmittelherstellung(ssT) -Spezialist,4110,4469,29283
394,29284 Lebensmittelherstellung (ssT) - Experte,4421,5019,29284
395,"29293 Aufsicht-Lebens-,Genussmittelherstellung",3900,4236,29293
396,"29294 Führung-Lebens-,Genussmittelherstellung",4334,4968,29294
397,29301 Köche/Köchinnen (o.S.) - Helfer,2304,2379,29301
398,29302 Köche/Köchinnen (o.S.) - Fachkraft,2730,2839,29302
399,"29312 Vor-, Kalt-, Süßspeisenköche - Fachkraft",2842,2845,29312
400,"29322 Grill-, Braten-, Fischköche - Fachkraft",2796,2833,29322
401,29382 Köche/Köchinnen (s.s.T.) - Fachkraft,2339,2417,29382
402,29393 Aufsicht - Speisenzubereitung,3561,3729,29393
403,29394 Führung - Speisenzubereitung,3874,4047,29394
404,"31102 Bauplanung,-überwachung (oS)-Fachkraft",4223,4490,31102
405,"31103 Bauplanung,-überwachung (oS)-Spezialist",4758,5238,31103
406,"31104 Bauplanung, -überwachung (oS) - Experte",5148,5715,31104
407,31114 Architektur - Experte,4400,4820,31114
408,31124 Stadt- und Raumplanung - Experte,6040,5747,31124
409,"31132 Bauplan. Verkehrswege,-anlagen-Fachkraft",3427,3500,31132
410,"31133 Bauplan Verkehrswege,-anlagen-Spezialist",4632,4709,31133
411,"31134 Bauplan. Verkehrswege,-anlagen - Experte",6192,6215,31134
