;;;;;;;Klassifikation der Berufe 2010 – überarbeitete Fassung 2020;
;;;;;;;;
Umsteigeschlüssel von der Klassifikation der Berufe 2010 – überarbeitete Fassung 2020 (5-Steller) zur ISCO-08 (4-Steller);;;;;;;;
;;;;;;;;
"KldB 2010
(5-Steller)";Bezeichnungen der KldB2010 (5-Steller);Classification title (English);"ISCO-08
(4-Steller)";Bezeichnungen der ISCO-08 (4-Steller);Unit Group (English);"Umstieg eindeutig (1);
nicht eindeutig (0)";"Schwerpunkt (1) und 
Anzahl der Alternativen";
11522;Berufe in der Haus- und Zootierpflege - fachlich ausgerichtete Tätigkeiten;Occupations in pet and zoo animal care-skilled tasks;5164;Tierpfleger und -betreuer;Pet groomers and animal care workers;1;1;
11582;Berufe in der Tierpflege (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten;Occupations in animal care (with specialisation, not elsewhere classified)-skilled tasks;5164;Tierpfleger und -betreuer;Pet groomers and animal care workers;1;1;
11593;Aufsichtskräfte - Tierpflege;Supervisors in animal care;5164;Tierpfleger und -betreuer;Pet groomers and animal care workers;1;1;
11594;Führungskräfte - Tierpflege;Managers in animal care;1439;Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt;Services managers not elsewhere classified;1;1;
11602;Berufe im Weinbau - fachlich ausgerichtete Tätigkeiten;Occupations in vini- and viticulture-skilled tasks;6112;Baum- und Strauchfrüchteanbauer;Tree and shrub crop growers;1;1;
11603;Berufe im Weinbau - komplexe Spezialistentätigkeiten;Occupations in vini- and viticulture-complex tasks;3142;Agrartechniker;Agricultural technicians;1;1;
11604;Berufe im Weinbau - hoch komplexe Tätigkeiten;Occupations in vini- and viticulture-highly complex tasks;2132;Agrar-, Forst- und Fischereiwissenschaftler und -berater;Farming, forestry and fisheries advisers;1;1;
11693;Aufsichtskräfte - Weinbau;Supervisors in vini- and viticulture;6112;Baum- und Strauchfrüchteanbauer;Tree and shrub crop growers;1;1;
11694;Führungskräfte - Weinbau;Managers in vini- and viticulture;6112;Baum- und Strauchfrüchteanbauer;Tree and shrub crop growers;1;1;
11711;Berufe in der Forstwirtschaft - Helfer-/Anlerntätigkeiten;Occupations in forestry-unskilled/semiskilled tasks;9215;Hilfsarbeiter in der Forstwirtschaft;Forestry labourers;1;1;
11712;Berufe in der Forstwirtschaft - fachlich ausgerichtete Tätigkeiten;Occupations in forestry-skilled tasks;6210;Forstarbeitskräfte und verwandte Berufe;Forestry and related workers;1;1;
11713;Berufe in der Forstwirtschaft - komplexe Spezialistentätigkeiten;Occupations in forestry-complex tasks;3143;Forsttechniker;Forestry technicians;1;1;
11714;Berufe in der Forstwirtschaft - hoch komplexe Tätigkeiten;Occupations in forestry-highly complex tasks;2132;Agrar-, Forst- und Fischereiwissenschaftler und -berater;Farming, forestry and fisheries advisers;1;1;
11722;Berufe in der Natur- und Landschaftspflege - fachlich ausgerichtete Tätigkeiten;Occupations in landscape preservation-skilled tasks;6113;Gärtner, Saat- und Pflanzenzüchter;Gardeners, horticultural and nursery growers;1;1;
11723;Berufe in der Natur- und Landschaftspflege - komplexe Spezialistentätigkeiten;Occupations in landscape preservation-complex tasks;3143;Forsttechniker;Forestry technicians;1;1;
11724;Berufe in der Natur- und Landschaftspflege - hoch komplexe Tätigkeiten;Occupations in landscape preservation-highly complex tasks;2143;Umweltschutzingenieure;Environmental engineers;1;1;
11732;Berufe in der Jagdwirtschaft und Wildhege - fachlich ausgerichtete Tätigkeiten;Occupations in hunting and gamekeeping-skilled tasks;5419;Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt;Protective services workers not elsewhere classified;1;1;
11742;Sammeln und Gewinnen von Pflanzen und anderen Naturprodukten - fachlich ausgerichtete Tätigkeiten;Picking and extracting plants and other natural products-skilled tasks;6210;Forstarbeitskräfte und verwandte Berufe;Forestry and related workers;1;1;
