,ISCO-Code,major_group,Berufsgattung(ISCO-Stufe 4),modifiziert_livingstone
210,4110,Bürokräfte und verwandte Berufe,Allgemeine Bürokräfte,Dienstleistungsarbeiter*innen
211,4120,Bürokräfte und verwandte Berufe,Sekretariatskräfte (allgemein),Dienstleistungsarbeiter*innen
212,4131,Bürokräfte und verwandte Berufe,Schreibkräfte und Bediener von Textverarbeitungsanlagen,Dienstleistungsarbeiter*innen
213,4132,Bürokräfte und verwandte Berufe,Datenerfasser,Dienstleistungsarbeiter*innen
214,4211,Bürokräfte und verwandte Berufe,Bank- und andere Schalterbedienstete,Dienstleistungsarbeiter*innen
215,4212,Bürokräfte und verwandte Berufe,"Buchmacher, Croupiers und verwandte Berufe im Bereich Glücks- und Wettspiele",Dienstleistungsarbeiter*innen
216,4213,Bürokräfte und verwandte Berufe,Pfandleiher und Geldverleiher,Dienstleistungsarbeiter*innen
217,4214,Bürokräfte und verwandte Berufe,Inkassobeauftragte und verwandte Berufe,Dienstleistungsarbeiter*innen
218,4221,Bürokräfte und verwandte Berufe,Reiseverkehrsfachkräfte,Dienstleistungsarbeiter*innen
219,4222,Bürokräfte und verwandte Berufe,Kundeninformationsfachkräfte in Call Centers,Dienstleistungsarbeiter*innen
220,4223,Bürokräfte und verwandte Berufe,Telefonisten,Dienstleistungsarbeiter*innen
221,4224,Bürokräfte und verwandte Berufe,Hotelrezeptionisten,Dienstleistungsarbeiter*innen
222,4225,Bürokräfte und verwandte Berufe,Auskunftspersonal,Dienstleistungsarbeiter*innen
223,4227,Bürokräfte und verwandte Berufe,Interviewer im Bereich Umfragen und Marktforschung,Dienstleistungsarbeiter*innen
224,4311,Bürokräfte und verwandte Berufe,Bürokräfte im Rechnungswesen und in der Buchhaltung,Dienstleistungsarbeiter*innen
225,4312,Bürokräfte und verwandte Berufe,"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen",Dienstleistungsarbeiter*innen
226,4313,Bürokräfte und verwandte Berufe,Bürokräfte in der Lohnbuchhaltung,Dienstleistungsarbeiter*innen
227,4321,Bürokräfte und verwandte Berufe,Fachkräfte in der Lagerwirtschaft,Industriearbeiter*innen
228,4322,Bürokräfte und verwandte Berufe,Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe,Dienstleistungsarbeiter*innen
229,4323,Bürokräfte und verwandte Berufe,Bürokräfte in der Transportwirtschaft und verwandte Berufe,Dienstleistungsarbeiter*innen
230,4411,Bürokräfte und verwandte Berufe,Bibliotheksassistenten,Dienstleistungsarbeiter*innen
231,4412,Bürokräfte und verwandte Berufe,Postverteiler und -sortierer,Dienstleistungsarbeiter*innen
232,4413,Bürokräfte und verwandte Berufe,"Kodierer, Korrekturleser und verwandte Bürokräfte",Dienstleistungsarbeiter*innen
233,4415,Bürokräfte und verwandte Berufe,Bürokräfte für Registratur und Dokumentation,Dienstleistungsarbeiter*innen
234,4416,Bürokräfte und verwandte Berufe,Bürokräfte im Personalwesen,Dienstleistungsarbeiter*innen
235,4419,Bürokräfte und verwandte Berufe,"Bürokräfte und verwandte Berufe, anderweitig nicht genannt",Dienstleistungsarbeiter*innen
236,5111,Dienstleistungsberufe und Verkäufer,Reisebegleiter und Stewards,Dienstleistungsarbeiter*innen
237,5112,Dienstleistungsberufe und Verkäufer,Schaffner,Dienstleistungsarbeiter*innen
238,5113,Dienstleistungsberufe und Verkäufer,Reiseleiter/Fremdenführer,Dienstleistungsarbeiter*innen
239,5120,Dienstleistungsberufe und Verkäufer,Köche,Industriearbeiter*innen
240,5131,Dienstleistungsberufe und Verkäufer,Kellner,Dienstleistungsarbeiter*innen
241,5132,Dienstleistungsberufe und Verkäufer,Barkeeper,Dienstleistungsarbeiter*innen
242,5141,Dienstleistungsberufe und Verkäufer,Friseure,Dienstleistungsarbeiter*innen
243,5142,Dienstleistungsberufe und Verkäufer,Kosmetiker und verwandte Berufe,Dienstleistungsarbeiter*innen
244,5151,Dienstleistungsberufe und Verkäufer,"Reinigungs- und Hauswirtschaftsleiter in Büros, Hotels und anderen Einrichtungen",Anleitende Beschäftigte
245,5152,Dienstleistungsberufe und Verkäufer,Hauswirtschafter in Privathaushalten,Dienstleistungsarbeiter*innen
246,5153,Dienstleistungsberufe und Verkäufer,Hauswarte,Dienstleistungsarbeiter*innen
247,5161,Dienstleistungsberufe und Verkäufer,"Astrologen, Wahrsager und verwandte Berufe",Dienstleistungsarbeiter*innen
248,5163,Dienstleistungsberufe und Verkäufer,Bestatter und Einbalsamierer,Dienstleistungsarbeiter*innen
