,ISCO-Code,Stellung im Beruf,is_supervisor,self_employed,n_employees,Anzahl,control_work,control_daily,Bezeichnung
880,3332,Arbeiter*innen & Angestellte,0,0,0.0,47090,4,2,Konferenz- und Veranstaltungsplaner
885,3333,Arbeiter*innen & Angestellte,0,0,0.0,51590,4,2,Arbeits- und Personalvermittler
890,3334,Arbeiter*innen & Angestellte,0,0,0.0,153540,4,2,Immobilienmakler und -verwalter
895,3339,Arbeiter*innen & Angestellte,0,0,0.0,16950,4,2,"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt"
900,3341,Arbeiter*innen & Angestellte,0,0,0.0,461490,4,2,Sekretariatsleiter
905,3342,Arbeiter*innen & Angestellte,0,0,0.0,133990,4,2,Sekretariatsfachkräfte im juristischen Bereich
910,3343,Arbeiter*innen & Angestellte,0,0,0.0,357970,4,2,Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung
915,3344,Arbeiter*innen & Angestellte,0,0,0.0,169230,4,2,Sekretariatsfachkräfte im Gesundheitswesen
920,3351,Arbeiter*innen & Angestellte,0,0,0.0,44420,4,2,Fachkräfte im Zolldienst und Grenzschutz
925,3352,Arbeiter*innen & Angestellte,0,0,0.0,87520,4,2,Fachkräfte in der Steuerverwaltung
930,3353,Arbeiter*innen & Angestellte,0,0,0.0,158450,4,2,Fachkräfte in Sozialverwaltung und -versicherung
935,3354,Arbeiter*innen & Angestellte,0,0,0.0,4890,4,2,"Fachkräfte bei staatlichen Pass-, Lizenz- und Genehmigungsstellen"
940,3355,Arbeiter*innen & Angestellte,0,0,0.0,80350,4,2,Polizeikommissare und Kriminalbeamte
945,3359,Arbeiter*innen & Angestellte,0,0,0.0,17660,4,2,"Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt"
950,3411,Arbeiter*innen & Angestellte,0,0,0.0,68170,4,2,Nicht akademische Fachkräfte für Rechts- und verwandte Angelegenheiten
955,3412,Arbeiter*innen & Angestellte,0,0,0.0,245610,4,2,Nicht akademische sozialpflegerische Fachkräfte
960,3413,Arbeiter*innen & Angestellte,0,0,0.0,5610,4,2,Ordensbrüder/-schwestern und Seelsorgehelfer
965,3421,Arbeiter*innen & Angestellte,0,0,0.0,9430,4,2,Athleten und Berufssportler
970,3422,Arbeiter*innen & Angestellte,0,0,0.0,53680,4,2,"Sportlehrer, Sporttrainer und Sportfunktionäre"
975,3423,Arbeiter*innen & Angestellte,0,0,0.0,59630,4,2,Trainer und Betreuer im Bereich Fitness und Erholung
980,3431,Arbeiter*innen & Angestellte,0,0,0.0,12870,4,2,Fotografen
985,3432,Arbeiter*innen & Angestellte,0,0,0.0,26120,4,2,Raumgestalter und Dekorateure
990,3433,Arbeiter*innen & Angestellte,0,0,0.0,11370,4,2,"Fachkräfte in Kunstgalerien, Museen und Bibliotheken"
995,3434,Arbeiter*innen & Angestellte,0,0,0.0,31630,4,2,Küchenchefs
1000,3435,Arbeiter*innen & Angestellte,0,0,0.0,41790,4,2,Sonstige Fachkräfte in Gestaltung und Kultur
1005,3511,Arbeiter*innen & Angestellte,0,0,0.0,9640,4,2,Techniker für den Betrieb von Informations- und Kommunikationstechnologie
1010,3512,Arbeiter*innen & Angestellte,0,0,0.0,146590,4,2,Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie
1015,3513,Arbeiter*innen & Angestellte,0,0,0.0,91610,4,2,Techniker für Computernetzwerke und -systeme
1020,3514,Arbeiter*innen & Angestellte,0,0,0.0,9690,4,2,Webmaster
1025,3521,Arbeiter*innen & Angestellte,0,0,0.0,20950,4,2,Techniker für Rundfunk und audiovisuelle Medien
1030,3522,Arbeiter*innen & Angestellte,0,0,0.0,12010,4,2,Telekommunikationstechniker
1035,4110,Arbeiter*innen & Angestellte,0,0,0.0,454860,4,2,Allgemeine Bürokräfte
1040,4120,Arbeiter*innen & Angestellte,0,0,0.0,1753560,4,2,Sekretariatskräfte (allgemein)
1045,4131,Arbeiter*innen & Angestellte,0,0,0.0,11590,4,2,Schreibkräfte und Bediener von Textverarbeitungsanlagen
1050,4132,Arbeiter*innen & Angestellte,0,0,0.0,9210,4,2,Datenerfasser
1055,4211,Arbeiter*innen & Angestellte,0,0,0.0,353240,4,2,Bank- und andere Schalterbedienstete
1060,4212,Arbeiter*innen & Angestellte,0,0,0.0,4750,4,2,"Buchmacher, Croupiers und verwandte Berufe im Bereich Glücks- und Wettspiele"
1065,4213,Arbeiter*innen & Angestellte,0,0,0.0,270,4,2,Pfandleiher und Geldverleiher
1070,4214,Arbeiter*innen & Angestellte,0,0,0.0,2600,4,2,Inkassobeauftragte und verwandte Berufe
1075,4221,Arbeiter*innen & Angestellte,0,0,0.0,66330,4,2,Reiseverkehrsfachkräfte
1080,4222,Arbeiter*innen & Angestellte,0,0,0.0,61040,4,2,Kundeninformationsfachkräfte in Call Centers
1085,4223,Arbeiter*innen & Angestellte,0,0,0.0,21880,4,2,Telefonisten
1090,4224,Arbeiter*innen & Angestellte,0,0,0.0,68690,4,2,Hotelrezeptionisten
1095,4225,Arbeiter*innen & Angestellte,0,0,0.0,7100,4,2,Auskunftspersonal
1100,4226,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Empfangskräfte (allgemein)
1105,4227,Arbeiter*innen & Angestellte,0,0,0.0,3210,4,2,Interviewer im Bereich Umfragen und Marktforschung
1110,4229,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,"Berufe im Bereich Kundeninformation, anderweitig nicht genannt"
1115,4311,Arbeiter*innen & Angestellte,0,0,0.0,352180,4,2,Bürokräfte im Rechnungswesen und in der Buchhaltung
1120,4312,Arbeiter*innen & Angestellte,0,0,0.0,37760,4,2,"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen"
1125,4313,Arbeiter*innen & Angestellte,0,0,0.0,4240,4,2,Bürokräfte in der Lohnbuchhaltung
1130,4321,Arbeiter*innen & Angestellte,0,0,0.0,649900,4,2,Fachkräfte in der Lagerwirtschaft
1135,4322,Arbeiter*innen & Angestellte,0,0,0.0,259590,4,2,Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe
1140,4323,Arbeiter*innen & Angestellte,0,0,0.0,217890,4,2,Bürokräfte in der Transportwirtschaft und verwandte Berufe
1145,4411,Arbeiter*innen & Angestellte,0,0,0.0,20080,4,2,Bibliotheksassistenten
1150,4412,Arbeiter*innen & Angestellte,0,0,0.0,197990,4,2,Postverteiler und -sortierer
1155,4413,Arbeiter*innen & Angestellte,0,0,0.0,8470,4,2,"Kodierer, Korrekturleser und verwandte Bürokräfte"
1160,4414,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Schreiber und verwandte Arbeitskräfte
1165,4415,Arbeiter*innen & Angestellte,0,0,0.0,12040,4,2,Bürokräfte für Registratur und Dokumentation
1170,4416,Arbeiter*innen & Angestellte,0,0,0.0,134810,4,2,Bürokräfte im Personalwesen
1175,4419,Arbeiter*innen & Angestellte,0,0,0.0,90290,4,2,"Bürokräfte und verwandte Berufe, anderweitig nicht genannt"
1180,5111,Arbeiter*innen & Angestellte,0,0,0.0,25420,4,2,Reisebegleiter und Stewards
1185,5112,Arbeiter*innen & Angestellte,0,0,0.0,19280,4,2,Schaffner
1190,5113,Arbeiter*innen & Angestellte,0,0,0.0,8230,4,2,Reiseleiter/Fremdenführer
1195,5120,Arbeiter*innen & Angestellte,0,0,0.0,238300,4,2,Köche
1200,5131,Arbeiter*innen & Angestellte,0,0,0.0,462340,4,2,Kellner
