,isco_08_key,fraktion,Berufsgattung(ISCO-Stufe 4),Anzahl,median_brutto_group_mean
118,3119.0,Hochspezialisierte Beschäftigte,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",336150.0,4518.419354838709
119,3121.0,Anleitender Beschäftigter,Produktionsleiter im Bergbau,3410.0,5734.0
120,3122.0,Anleitender Beschäftigter,Produktionsleiter bei der Herstellung von Waren,391890.0,4636.9
121,3123.0,Anleitender Beschäftigter,Bauleiter,204180.0,4343.888888888889
122,3131.0,Hochspezialisierte Beschäftigte,Steuerer von Energieerzeugungsanlagen,32120.0,4966.0
123,3132.0,Hochspezialisierte Beschäftigte,Steuerer von Verbrennungs- und Wasserbehandlungsanlagen,28590.0,3782.0
124,3133.0,Hochspezialisierte Beschäftigte,Steuerer von chemischen Verfahrensanlagen,920.0,3708.0
125,3134.0,Hochspezialisierte Beschäftigte,Steurer von Erdöl- und Erdgasraffinationsanlagen,750.0,6904.0
126,3135.0,Hochspezialisierte Beschäftigte,Steuerer von Verfahren in der Metallerzeugung,2060.0,5719.0
127,3141.0,Hochspezialisierte Beschäftigte,Biotechniker (ohne medizinische Fachberufe),46240.0,4635.0
128,3142.0,Hochspezialisierte Beschäftigte,Agrartechniker,22660.0,3727.2
129,3143.0,Hochspezialisierte Beschäftigte,Forsttechniker,17080.0,4958.0
130,3151.0,Hochspezialisierte Beschäftigte,Technische Schiffsoffiziere,3890.0,6540.0
131,3152.0,Anleitender Beschäftigter,"Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen",14100.0,4302.25
132,3153.0,Anleitender Beschäftigter,Flugzeugführer und verwandte Berufe,15520.0,13325.0
133,3154.0,Hochspezialisierte Beschäftigte,Flugverkehrslotsen,5110.0,11716.0
134,3155.0,Hochspezialisierte Beschäftigte,Flugsicherungstechniker,800.0,9214.0
135,3211.0,Hochspezialisierte Beschäftigte,Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,35760.0,4056.0
136,3212.0,Hochspezialisierte Beschäftigte,Medizintechniker im Bereich Labor und Pathologie,50000.0,3467.0
137,3213.0,Hochspezialisierte Beschäftigte,Pharmazeutisch-technische Assistenten,86530.0,2997.0
138,3214.0,Hochspezialisierte Beschäftigte,Medizinische und zahnmedizinische Prothetiktechniker,79400.0,2833.75
139,3221.0,Hochspezialisierte Beschäftigte,Nicht akademische Krankenpflegefachkräfte,1197330.0,4047.714285714286
140,3222.0,Hochspezialisierte Beschäftigte,Nicht akademische Geburtshilfefachkräfte,1590.0,3751.0
141,3240.0,Hochspezialisierte Beschäftigte,Veterinärmedizinische Fachkräfte und Assistenten,8230.0,3198.3333333333335
142,3251.0,Hochspezialisierte Beschäftigte,Zahnmedizinische Assistenten und Dentalhygieniker,204600.0,2825.0
143,3252.0,Hochspezialisierte Beschäftigte,Fachkräfte im Bereich medizinische Dokumentation und Information,13150.0,4168.0
144,3254.0,Hochspezialisierte Beschäftigte,Augenoptiker,54510.0,2500.0
145,3255.0,Hochspezialisierte Beschäftigte,Physiotherapeutische Techniker und Assistenten,43930.0,2903.0
146,3256.0,Hochspezialisierte Beschäftigte,Medizinische Assistenten,516790.0,3645.4285714285716
147,3257.0,Hochspezialisierte Beschäftigte,Nicht akademische Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe,100670.0,4014.714285714286
148,3258.0,Hochspezialisierte Beschäftigte,Rettungsdienstpersonal,80700.0,3865.0
149,3259.0,Hochspezialisierte Beschäftigte,"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",14370.0,3163.0
150,3311.0,Hochspezialisierte Beschäftigte,"Wertpapierhändler, -makler und Finanzmakler",48370.0,6396.0
151,3313.0,Hochspezialisierte Beschäftigte,Nicht akademische Fachkräfte im Rechnungswesen,431830.0,4486.5
152,3314.0,Hochspezialisierte Beschäftigte,"Nicht akademische statistische, mathematische und verwandte Fachkräfte",870.0,5868.0
153,3321.0,Hochspezialisierte Beschäftigte,Versicherungsvertreter,181570.0,4922.0
154,3322.0,Hochspezialisierte Beschäftigte,Vertriebsagenten,497880.0,4337.0
155,3323.0,Hochspezialisierte Beschäftigte,Einkäufer,127150.0,4813.0
156,3331.0,Hochspezialisierte Beschäftigte,Fachkräfte für Abrechnungs- und Speditionsdienstleistungen,52360.0,5223.5
157,3332.0,Hochspezialisierte Beschäftigte,Konferenz- und Veranstaltungsplaner,58100.0,3532.5
158,3333.0,Hochspezialisierte Beschäftigte,Arbeits- und Personalvermittler,59070.0,3892.0
159,3334.0,Hochspezialisierte Beschäftigte,Immobilienmakler und -verwalter,214640.0,3905.0
