"","X","ISCO.Code","Stellung.im.Beruf","is_supervisor","self_employed","n_employees","Anzahl","control_work","control_daily","Bezeichnung","isco88","isco88com","simple_wright","power_wright","oesch8","egp7","siops"
"54",265,"2165","Arbeiter*innen & Angestellte",0,0,0,13200,4,2,"Kartografen und Vermessungsingenieure","2148","2148","Expert workers","Skilled workers","'Technical (semi-)professionals'","'II  Service class II'","58.00"
"55",270,"2166","Arbeiter*innen & Angestellte",0,0,0,93880,4,2,"Grafik- und Multimediadesigner","3471","3471","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","63.19"
"56",275,"2211","Arbeiter*innen & Angestellte",0,0,0,104450,4,2,"Allgemeinärzte","2221","2221","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","78.01"
"57",280,"2212","Arbeiter*innen & Angestellte",0,0,0,191520,4,2,"Fachärzte","2221","2221","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","78.01"
"58",285,"2221","Arbeiter*innen & Angestellte",0,0,0,33160,4,2,"Akademische und vergleichbare Krankenpflegefachkräfte","2230","2230","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","54.05"
"59",290,"2222","Arbeiter*innen & Angestellte",0,0,0,14170,4,2,"Akademische und vergleichbare Geburtshilfefachkräfte","2230","2230","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","46.00"
"60",295,"2230","Arbeiter*innen & Angestellte",0,0,0,3560,4,2,"Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin","3229","3229","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","69.03"
"61",300,"2240","Arbeiter*innen & Angestellte",0,0,0,2150,4,2,"Feldscher und vergleichbare paramedizinische Praktiker","3221","3221","Low skilled workers","Low skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","69.03"
"62",305,"2250","Arbeiter*innen & Angestellte",0,0,0,20780,4,2,"Tierärzte","2223","2223","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","61.00"
"63",310,"2261","Arbeiter*innen & Angestellte",0,0,0,28510,4,2,"Zahnärzte","2222","2222","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","70.00"
"64",315,"2262","Arbeiter*innen & Angestellte",0,0,0,67710,4,2,"Apotheker","2224","2224","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","64.00"
"65",320,"2263","Arbeiter*innen & Angestellte",0,0,0,9890,4,2,"Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene","2229","2229","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","65.80"
"66",325,"2264","Arbeiter*innen & Angestellte",0,0,0,153160,4,2,"Physiotherapeuten","3226","3226","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","56.21"
"67",330,"2265","Arbeiter*innen & Angestellte",0,0,0,20050,4,2,"Diätologen und Ernährungsberater","3223","3223","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","52.00"
"68",335,"2266","Arbeiter*innen & Angestellte",0,0,0,27070,4,2,"Audiologen und Sprachtherapeuten","3229","3229","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","65.80"
"69",340,"2267","Arbeiter*innen & Angestellte",0,0,0,2140,4,2,"Optometristen und Orthoptisten","3224","3224","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","60.15"
"70",345,"2269","Arbeiter*innen & Angestellte",0,0,0,78270,4,2,"Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt","2229","2229","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","65.80"
